idx_in_dataset,ground_truth_x,ground_truth_y,manual_x,manual_y
1981,[396],[135],[],[]
7881,[470],[927],[],[]
4472,[307],[477],[],[]
6584,[267],[475],[],[]
5829,[336],[114],[],[]
133,[1025],[780],[],[]
9539,[722],[127],[],[]
2551,[266],[618],[],[]
1558,[921],[186],[],[]
5891,[1007],[277],[],[]
2707,[475],[916],[],[]
7168,[812],[241],[],[]
4473,[279],[458],[],[]
7223,[1064],[825],[],[]
5728,[726],[119],[],[]
6873,[317],[117],[],[]
1435,[918],[184],[],[]
1644,[1086],[168],[],[]
9130,[787],[189],[],[]
2810,[415],[118],[],[]
4900,[748],[538],[],[]
167,[1056],[185],[],[]
8171,[912],[356],[],[]
9594,[265],[532],[],[]
4135,[749],[120],[],[]
9298,[319],[196],[],[]
738,[648],[122],[],[]
906,[506],[127],[],[]
7335,[267],[490],[],[]
1566,[921],[186],[],[]
7176,[852],[467],[],[]
1054,[313],[115],[],[]
1965,[319],[111],[],[]
1069,[315],[136],[],[]
1039,[554],[119],[],[]
4276,[1001],[393],[],[]
2221,[1078],[559],[],[]
2436,[781],[137],[],[]
6755,[906],[116],[],[]
9956,[434],[455],[],[]
5620,[325],[129],[],[]
9161,[841],[111],[],[]
9227,[316],[107],[],[]
3810,[536],[891],[],[]
8507,[822],[313],[],[]
1454,[918],[184],[],[]
9545,[768],[116],[],[]
282,[273],[172],[],[]
6896,[308],[111],[],[]
3390,[320],[112],[],[]
