idx_in_dataset,ground_truth_x,ground_truth_y,manual_x,manual_y
108248,[244],[290],[],[]
49870,[393],[204],[],[]
155761,[242],[341],[],[]
80112,[403],[224],[],[]
39438,[306],[207],[],[]
152685,[213],[213],[],[]
222880,[305],[170],[],[]
81101,[356],[284],[],[]
149979,[140],[273],[],[]
131707,[363],[194],[],[]
212817,[439],[161],[],[]
79032,[403],[244],[],[]
85257,[443],[173],[],[]
256349,[129],[321],[],[]
233452,[182],[281],[],[]
150390,[161],[183],[],[]
191306,[276],[176],[],[]
264661,[459],[317],[],[]
68958,[346],[244],[],[]
204921,[174],[334],[],[]
237033,[401],[150],[],[]
18627,[262],[240],[],[]
118486,[431],[327],[],[]
66815,[304],[243],[],[]
147478,[252],[337],[],[]
87867,[422],[221],[],[]
65753,[382],[190],[],[]
71443,[293],[364],[],[]
16776,[195],[280],[],[]
105093,[465],[304],[],[]
168634,[151],[290],[],[]
37268,[363],[324],[],[]
41003,[205],[273],[],[]
76393,[241],[273],[],[]
27713,[263],[173],[],[]
215047,[486],[241],[],[]
59139,[215],[297],[],[]
1758,[440],[210],[],[]
22612,[473],[241],[],[]
90808,[393],[243],[],[]
159280,[210],[236],[],[]
242238,[392],[341],[],[]
29357,[248],[184],[],[]
82196,[257],[290],[],[]
215017,[484],[237],[],[]
260015,[387],[120],[],[]
129126,[205],[260],[],[]
191492,[314],[167],[],[]
186737,[258],[337],[],[]
51430,[402],[217],[],[]
