idx_in_dataset,ground_truth_x,ground_truth_y,manual_x,manual_y
61035,[255],[119],[],[]
36882,[532],[99],[],[]
26470,[543],[271],[],[]
807,[503],[245],[],[]
17854,[374],[273],[],[]
60299,[419],[271],[],[]
27186,[207],[194],[],[]
2406,[285],[300],[],[]
37804,[492],[141],[],[]
23845,[519],[143],[],[]
589,[72],[415],[],[]
56776,[135],[142],[],[]
4223,[406],[123],[],[]
28647,[322],[314],[],[]
59617,[114],[268],[],[]
22517,[303],[103],[],[]
8039,[101],[108],[],[]
41568,[420],[374],[],[]
11607,[347],[229],[],[]
2918,[463],[143],[],[]
54714,[443],[366],[],[]
27416,[107],[362],[],[]
2992,[302],[107],[],[]
8927,[197],[360],[],[]
471,[608],[399],[],[]
31459,[256],[310],[],[]
53791,[424],[269],[],[]
20471,[507],[297],[],[]
30776,[144],[113],[],[]
31441,[204],[328],[],[]
26895,[269],[292],[],[]
47328,[353],[179],[],[]
31543,[553],[273],[],[]
38239,[325],[157],[],[]
33281,[482],[147],[],[]
43455,[81],[403],[],[]
5348,[348],[195],[],[]
7391,[555],[105],[],[]
54271,[186],[370],[],[]
22309,[172],[424],[],[]
38105,[145],[99],[],[]
11224,[550],[179],[],[]
28883,[163],[216],[],[]
39788,[178],[256],[],[]
50082,[272],[318],[],[]
159,[205],[238],[],[]
6855,[234],[77],[],[]
27079,[348],[380],[],[]
44,[336],[376],[],[]
7399,[521],[131],[],[]
