idx_in_dataset,ground_truth_x,ground_truth_y,manual_x,manual_y
1478,[527],[221],[],[]
3456,[569],[364],[],[]
7382,[507],[100],[],[]
2231,[79],[285],[],[]
7132,[579],[327],[],[]
1396,[455],[459],[],[]
5351,[552],[238],[],[]
343,[534],[359],[],[]
6769,[158],[383],[],[]
7472,[147],[383],[],[]
4319,[335],[140],[],[]
2071,[578],[221],[],[]
1192,[501],[250],[],[]
6446,[509],[168],[],[]
6141,[163],[377],[],[]
6851,[178],[351],[],[]
1758,[174],[154],[],[]
5251,[509],[168],[],[]
3889,[404],[77],[],[]
2257,[177],[67],[],[]
1620,[220],[398],[],[]
1748,[516],[126],[],[]
5779,[457],[273],[],[]
5762,[471],[383],[],[]
6490,[251],[304],[],[]
6085,[292],[-16],[],[]
5816,[482],[323],[],[]
5854,[261],[88],[],[]
1215,[120],[369],[],[]
2771,[135],[180],[],[]
3682,[277],[276],[],[]
4163,[132],[332],[],[]
2954,[561],[339],[],[]
2822,[409],[125],[],[]
4987,[66],[128],[],[]
2785,[141],[377],[],[]
6326,[165],[267],[],[]
133,[289],[237],[],[]
291,[594],[361],[],[]
3660,[567],[297],[],[]
3680,[150],[382],[],[]
1056,[170],[103],[],[]
4685,[421],[243],[],[]
3037,[508],[210],[],[]
5173,[439],[307],[],[]
6472,[428],[355],[],[]
6515,[529],[103],[],[]
3674,[508],[112],[],[]
3553,[507],[95],[],[]
4068,[507],[114],[],[]
