idx_in_dataset,ground_truth_x,ground_truth_y,manual_x,manual_y
254,[548 565],[368 360],[],[]
61,[107 572],[179 391],[],[]
580,[566 150],[275 156],[],[]
624,[ 92 201],[235 396],[],[]
248,[535 524],[375 392],[],[]
126,[500 534],[346 339],[],[]
270,[231 460],[381 270],[],[]
129,[304 181],[330 397],[],[]
135,[174 205],[373 360],[],[]
312,[340 351],[ 82 313],[],[]
28,[164 279],[ 89 118],[],[]
526,[ 83 160],[125 373],[],[]
46,[154 113],[320 386],[],[]
650,[169 123],[292  88],[],[]
453,[502 577],[232 292],[],[]
522,[194 132],[172 153],[],[]
285,[148 168],[230 209],[],[]
527,[163  92],[373 137],[],[]
369,[127 105],[397 348],[],[]
200,[413 443],[ 98 245],[],[]
137,[208 201],[361 375],[],[]
219,[538 164],[100 140],[],[]
145,[261 306],[380 334],[],[]
466,[130  98],[123 287],[],[]
298,[501 430],[152 201],[],[]
454,[577 507],[292 227],[],[]
630,[397 191],[198 253],[],[]
36,[ 79 110],[113 395],[],[]
564,[567 569],[328 356],[],[]
119,[169  95],[121 150],[],[]
543,[345 582],[269 378],[],[]
413,[109  84],[146 165],[],[]
71,[307 438],[292 393],[],[]
356,[142 128],[391 397],[],[]
150,[263 310],[303 381],[],[]
586,[265 581],[290 391],[],[]
125,[533 505],[357 351],[],[]
316,[165 575],[100 194],[],[]
292,[164 234],[332 243],[],[]
374,[397 442],[386 384],[],[]
604,[502 569],[209 391],[],[]
459,[408 126],[337 109],[],[]
204,[386 449],[154 165],[],[]
111,[258 172],[359 351],[],[]
76,[222 371],[ 78 129],[],[]
23,[193 212],[370 379],[],[]
104,[468 576],[392 233],[],[]
323,[308 393],[345 364],[],[]
556,[279 506],[153 112],[],[]
33,[ 74 582],[ 82 386],[],[]
