idx_in_dataset,ground_truth_x,ground_truth_y,manual_x,manual_y
16493,[276],[311],[],[]
34016,[106],[259],[],[]
3178,[249],[372],[],[]
30033,[532],[249],[],[]
26618,[300],[272],[],[]
10075,[560],[343],[],[]
14056,[142],[336],[],[]
54064,[230],[170],[],[]
25178,[191],[274],[],[]
58311,[482],[141],[],[]
5030,[130],[353],[],[]
68805,[281],[97],[],[]
30049,[532],[249],[],[]
38223,[544],[232],[],[]
5101,[145],[352],[],[]
35475,[254],[244],[],[]
63273,[230],[124],[],[]
5529,[184],[350],[],[]
56729,[511],[163],[],[]
6848,[301],[352],[],[]
36300,[335],[239],[],[]
67447,[446],[90],[],[]
42746,[124],[228],[],[]
3487,[212],[373],[],[]
19877,[561],[285],[],[]
23891,[123],[297],[],[]
47614,[541],[193],[],[]
41487,[253],[221],[],[]
55846,[416],[175],[],[]
69349,[228],[99],[],[]
70073,[155],[101],[],[]
39348,[485],[216],[],[]
69194,[248],[98],[],[]
64413,[364],[127],[],[]
55518,[378],[176],[],[]
22112,[312],[289],[],[]
36927,[411],[235],[],[]
37158,[426],[235],[],[]
51528,[202],[191],[],[]
57493,[561],[137],[],[]
3378,[231],[372],[],[]
30372,[496],[248],[],[]
6407,[259],[343],[],[]
43994,[188],[201],[],[]
61887,[97],[153],[],[]
23046,[198],[293],[],[]
58783,[426],[142],[],[]
45390,[331],[201],[],[]
31071,[408],[253],[],[]
32956,[195],[256],[],[]
